2023_7_21_878052;23965;42562;5. Urun;2.0
2023_7_21_878052;80997;87925;5. Urun;50.0
2023_7_21_878052;36892;46515;9. Urun;43.0
2023_7_21_878052;36892;64188;4. Urun;31.0
2023_7_21_878052;78242;22261;2. Urun;37.0
2023_7_21_878052;95837;40038;3. Urun;28.0
2023_7_21_878052;80997;55112;2. Urun;9.0
2023_7_21_878052;69731;91408;3. Urun;12.0
2023_7_21_838348;36892;64188;4. Urun;31.0
2023_7_21_838348;80997;55112;2. Urun;9.0
2023_7_21_838348;36892;46515;9. Urun;43.0
2023_7_21_838348;48525;82504;2. Urun;28.0
2023_7_21_838348;48525;37095;7. Urun;22.0
2023_7_21_808512;36892;68444;7. Urun;17.0
2023_7_21_808512;78242;29414;5. Urun;9.0
2023_7_21_808512;23965;80044;6. Urun;34.0
2023_7_21_808512;78242;78582;3. Urun;3.0
2023_7_21_808512;95837;40038;3. Urun;28.0
2023_7_21_808512;69018;63261;8. Urun;21.0
2023_7_21_808512;80997;41355;6. Urun;50.0
2023_7_21_808512;36892;46515;9. Urun;43.0
2023_7_21_808512;69731;30322;8. Urun;47.0
2023_7_21_891901;48525;82504;2. Urun;28.0
2023_7_21_891901;23965;26228;9. Urun;38.0
2023_7_21_891901;80997;89235;4. Urun;17.0
2023_7_21_891901;23965;83198;1. Urun;20.0
2023_7_21_891901;36892;68444;7. Urun;17.0
2023_7_21_891901;95837;33629;7. Urun;2.0
2023_7_21_891901;36892;46515;9. Urun;43.0
2023_7_21_412265;69018;56163;7. Urun;43.0
2023_7_21_412265;80997;49082;3. Urun;25.0
2023_7_21_412265;36892;22961;1. Urun;36.0
2023_7_21_412265;36892;51142;3. Urun;1.0
2023_7_21_412265;80997;87925;5. Urun;50.0
2023_7_21_412265;80997;89371;1. Urun;39.0
2023_7_21_412265;80997;55112;2. Urun;9.0
2023_7_21_739217;36892;51142;3. Urun;1.0
2023_7_21_739217;69018;79299;6. Urun;33.0
2023_7_21_739217;23965;12749;2. Urun;9.0
2023_7_21_739217;23965;38442;3. Urun;35.0
2023_7_21_739217;69018;56163;7. Urun;43.0
2023_7_21_739217;95837;62989;9. Urun;3.0
2023_7_21_739217;78242;18444;7. Urun;25.0
2023_7_21_739217;23965;83198;1. Urun;20.0
2023_7_21_920195;36892;16925;5. Urun;3.0
2023_7_21_920195;48525;57550;8. Urun;28.0
2023_7_21_920195;23965;12749;2. Urun;9.0
2023_7_21_164998;48525;57550;8. Urun;28.0
2023_7_21_164998;36892;43993;2. Urun;11.0
2023_7_21_164998;48525;99230;9. Urun;32.0
2023_7_21_164998;80997;89235;4. Urun;17.0
